CHROM	qtl	start	end	length	nSNPs	avgSNPs_Mb	peakDeltaSNP	avgDeltaSNP	maxGprime	meanGprime	sdGprime	AUCaT	meanPval	meanQval
C3	1	15200774	15241930	41156	441	10715	0.0512483489930908	0.0511737919069583	3.82158750426558	3.81690041895388	0.00271212685401494	277.221682622999	0.000532370783425839	0.00976791063304773
C3	2	16846493	17850925	1004432	12930	12873	0.0680482430525403	0.0650384952770377	3.9263927681628	3.87941373679076	0.0319579331512464	66962.3785945787	0.000412021422884002	0.00822311323943633
C3	3	19034579	19895101	860522	7252	8427	0.0678675146951212	0.062212950177088	3.95706880681628	3.91148360578956	0.0417559183681937	83125.101508178	0.000362097291836528	0.00758576139207256
C3	4	22228958	23465246	1236288	15182	12280	0.0683501084136595	0.0607026987666635	4.61921429918833	4.28195793125476	0.231675717531304	588005.79718623	0.000121485018910634	0.00322764019669887
C6	1	14597521	15465045	867524	5034	5803	0.0364408706143888	0.0226613253715984	4.75254426381416	4.31514637296935	0.293889251834508	412140.468291558	0.000129705352153175	0.00327049751689778
C6	2	16444316	17533900	1089584	5920	5433	-0.0723416618768625	-0.0589475860932651	5.13863520995815	4.66966126791308	0.326183702117178	820702.55153614	4.3134487224069e-05	0.00135221479892117
C6	3	23914848	24987778	1072930	7250	6757	0.0956495202789642	0.0909480474851515	4.24491493451394	4.07242422676188	0.097571095490318	265466.81535983	0.000195274503070217	0.00483183748381155
C6	4	26331307	28677573	2346266	19573	8342	0.107318642380707	0.0926316982943776	5.45680455235359	4.87081625618049	0.540499650880097	2423243.06518814	6.60510467123019e-05	0.00159955408420201
C6	5	29441103	30328107	887004	6720	7576	0.0722907139467381	0.0680839887106322	4.28468589960526	4.01135493283314	0.130287458529487	210872.519129316	0.000268221704485074	0.00595336991360191
C6	6	30752349	35071760	4319411	42219	9774	0.111040370298808	0.082072327694154	6.95107124566739	5.23402688850708	0.993608499218954	6538428.63605662	6.8876432429761e-05	0.00166102779082586
C6	7	37229631	39819004	2589373	22504	8691	0.127451694693876	0.114011348386294	7.42396570769539	6.70888081698651	0.96347674170739	7429961.08758975	1.76961433343918e-05	0.000425909791795755
C7	1	33033987	35435941	2401954	24472	10188	-0.0149748633691552	-0.006541307961652	5.18345309942467	4.50038172657098	0.403729017157377	1701642.09272676	9.6763667358343e-05	0.00247931980492184
C7	2	36493324	40240429	3747105	38581	10296	-0.0128414634246872	-0.00309677449753686	4.51096582527326	4.19446250456139	0.175281843468612	1462893.98215729	0.000142885783297824	0.0037499637077822
C9	1	12096731	13835275	1738544	21616	12433	0.115517097146715	0.109540322814285	4.29960662142589	4.11721500024025	0.143915549931112	546391.151063912	0.0001811447960225	0.00445053065613193
