GO_acc	term_type	Term	queryitem	querytotal	bgitem	bgtotal	pvalue	FDR	entries
GO:0010228	P	vegetative to reproductive phase transition of meristem	15	1265	112	37767	1.7e-05	0.00075	// A0A0D3DEB2 // A0A0D3DBR3 // A0A0D3D1D7 // A0A0D3CVJ4 // A0A0D3DBD2 // A0A0D3DC48 // A0A0D3DDB7 // A0A0D3D195 // A0A0D3D184 // A0A0D3E4Z6 // A0A0D3D162 // A0A0D3DD47 // A0A0D3CWM0 // A0A0D3CY76 // A0A0D3CWY7 
GO:0010431	P	seed maturation	6	1265	18	37767	9.3e-05	0.0034	// A0A0D3DC54 // A0A0D3DEB2 // A0A0D3DBD2 // A0A0D3DDQ3 // A0A0D3CWM0 // A0A0D3CWY7 
GO:0048449	P	floral organ formation	6	1265	22	37767	0.00023	0.007	// A0A0D3EIH2 // A0A0D3D1B3 // A0A0D3DBR7 // A0A0D3DD16 // A0A0D3CZ63 // A0A0D3E4V1 
GO:0010162	P	seed dormancy	5	1265	16	37767	0.00047	0.013	// A0A0D3DEB2 // A0A0D3CWM0 // A0A0D3DBD2 // A0A0D3DDQ3 // A0A0D3CWY7 
GO:0048438	P	floral whorl development	13	1265	133	37767	0.00097	0.022	// A0A0D3DC33 // A0A0D3CWI9 // A0A0D3D1B3 // A0A0D3EIH2 // A0A0D3DBR3 // A0A0D3E4V1 // A0A0D3DBR7 // A0A0D3CVS8 // A0A0D3CZ63 // A0A0D3CVJ9 // A0A0D3DDQ3 // A0A0D3CWJ3 // A0A0D3CZ21 
GO:0048437	P	floral organ development	14	1265	152	37767	0.0011	0.024	// A0A0D3DC33 // A0A0D3CWI9 // A0A0D3D1B3 // A0A0D3EIH2 // A0A0D3DBR3 // A0A0D3E4V1 // A0A0D3DBR7 // A0A0D3CVS8 // A0A0D3DD16 // A0A0D3CZ63 // A0A0D3CVJ9 // A0A0D3DDQ3 // A0A0D3CWJ3 // A0A0D3CZ21 
GO:0048444	P	floral organ morphogenesis	6	1265	31	37767	0.0011	0.024	// A0A0D3EIH2 // A0A0D3D1B3 // A0A0D3DBR7 // A0A0D3DD16 // A0A0D3CZ63 // A0A0D3E4V1 
GO:0048481	P	ovule development	6	1265	52	37767	0.011	0.15	// A0A0D3CWI9 // A0A0D3E4V1 // A0A0D3DBR3 // A0A0D3CVS8 // A0A0D3CZ63 // A0A0D3CWJ3 
GO:0009908	P	flower development	22	1265	377	37767	0.012	0.16	// A0A0D3CWI9 // A0A0D3DBD2 // A0A0D3DC48 // A0A0D3CVI1 // A0A0D3CWM0 // A0A0D3EIH2 // A0A0D3D1B3 // A0A0D3DC33 // A0A0D3CVJ9 // A0A0D3E4V1 // A0A0D3CVS8 // A0A0D3D195 // A0A0D3CZ63 // A0A0D3DDQ3 // A0A0D3CWJ3 // A0A0D3CY76 // A0A0D3CWY7 // A0A0D3CZ21 // A0A0D3DEB2 // A0A0D3DBR3 // A0A0D3DBR7 // A0A0D3DD16 
GO:0048466	P	androecium development	5	1265	44	37767	0.021	0.25	// A0A0D3DC33 // A0A0D3CVJ9 // A0A0D3CZ63 // A0A0D3CZ21 // A0A0D3DDQ3 
GO:0048443	P	stamen development	5	1265	44	37767	0.021	0.25	// A0A0D3DC33 // A0A0D3CVJ9 // A0A0D3CZ63 // A0A0D3CZ21 // A0A0D3DDQ3 
GO:0048440	P	carpel development	6	1265	71	37767	0.039	0.42	// A0A0D3CWI9 // A0A0D3E4V1 // A0A0D3DBR3 // A0A0D3CVS8 // A0A0D3CZ63 // A0A0D3CWJ3 
