GO_acc	term_type	Term	queryitem	querytotal	bgitem	bgtotal	pvalue	FDR	entries
GO:0006351	P	transcription, DNA-dependent	133	1482	1039	37767	7.8e-30	1.6e-26	// A0A0D3D1S3 // A0A0D3EIB3 // A0A0D3CWX9 // A0A0D3EI57 // A0A0D3AYQ8 // A0A0D3EIB8 // A0A0D3CY72 // A0A0D3D1V4 // A0A0D3CYK5 // A0A0D3CUD3 // A0A0D3CXP3 // A0A0D3CZT6 // A0A0D3CZT3 // A0A0D3CZ02 // A0A0D3CXA4 // A0A0D3C2Q1 // A0A0D3CTV4 // A0A0D3AYP3 // A0A0D3CWW8 // A0A0D3CZ93 // A0A0D3CXI1 // A0A0D3AYP8 // A0A0D3CUG8 // A0A0D3CV31 // A0A0D3D1F7 // A0A0D3CX87 // A0A0D3D0R7 // A0A0D3EIB7 // A0A0D3CUN2 // A0A0D3CVV5 // A0A0D3D1T6 // A0A0D3CTW9 // A0A0D3CZ52 // A0A0D3EI30 // A0A0D3CYZ8 // A0A0D3C2S5 // A0A0D3EI34 // A0A0D3CW25 // A0A0D3CXN0 // A0A0D3CXN1 // A0A0D3D1G4 // A0A0D3CW22 // A0A0D3CU51 // A0A0D3CVW8 // A0A0D3DJD3 // A0A0D3EIG8 // A0A0D3EIG4 // A0A0D3CZ60 // A0A0D3CWL1 // A0A0D3CZ64 // A0A0D3CZC5 // A0A0D3CUP2 // A0A0D3CVA7 // A0A0D3D119 // A0A0D3EI29 // A0A0D3CW19 // A0A0D3AYG2 // A0A0D3C2C2 // A0A0D3AYG5 // A0A0D3CUY3 // A0A0D2ZVR0 // A0A0D3D1M2 // A0A0D3AZ69 // A0A0D3CXD5 // A0A0D3CY86 // A0A0D3CY88 // A0A0D3AZB1 // A0A0D3CVI9 // A0A0D3D1E5 // A0A0D3CY01 // A0A0D3CZH3 // A0A0D3CZH0 // A0A0D3CY04 // A0A0D3D0W5 // A0A0D3EI91 // A0A0D3AZ74 // A0A0D3AZ76 // A0A0D3EIE6 // A0A0D3AYL4 // A0A0D3D1J7 // A0A0D3CVJ4 // A0A0D3D1S5 // A0A0D3CYN5 // A0A0D3CYN3 // A0A0D3CWJ3 // A0A0D3CX44 // A0A0D3CX45 // A0A0D3CV71 // A0A0D3D0V7 // A0A0D3CW76 // A0A0D3CVA5 // A0A0D3CYW2 // A0A0D3CVA2 // A0A0D3EID7 // A0A0D3CXB3 // A0A0D3AYK8 // A0A0D3EHY9 // A0A0D3CYR0 // A0A0D3CZB0 // A0A0D3CZB2 // A0A0D3CVZ1 // A0A0D3CTS3 // A0A0D3EI72 // A0A0D3AYS0 // A0A0D3CZ13 // A0A0D3CZ15 // A0A0D3D1C0 // A0A0D3CXJ0 // A0A0D3EHY5 // A0A0D3C217 // A0A0D3CUZ7 // A0A0D3CUZ1 // A0A0D3CXR9 // A0A0D3B5V2 // A0A0D3D141 // A0A0D3CVS7 // A0A0D3D0S5 // A0A0D3D1H8 // A0A0D3D1Q5 // A0A0D3CXX5 // A0A0D3CWH1 // A0A0D3AYR9 // A0A0D3CX26 // A0A0D3CUT0 // A0A0D3C250 // A0A0D3CY51 // A0A0D3CUE1 // A0A0D3CXK9 // A0A0D3AYZ4 // A0A0D3D151 // A0A0D3CZS3 // A0A0D3CZA5 // A0A0D3AYZ8 
GO:0032774	P	RNA biosynthetic process	133	1482	1040	37767	8.5e-30	1.6e-26	// A0A0D3D1S3 // A0A0D3EIB3 // A0A0D3CWX9 // A0A0D3EI57 // A0A0D3AYQ8 // A0A0D3EIB8 // A0A0D3CY72 // A0A0D3D1V4 // A0A0D3CYK5 // A0A0D3CUD3 // A0A0D3CXP3 // A0A0D3CZT6 // A0A0D3CZT3 // A0A0D3CZ02 // A0A0D3CXA4 // A0A0D3C2Q1 // A0A0D3CTV4 // A0A0D3AYP3 // A0A0D3CWW8 // A0A0D3CZ93 // A0A0D3CXI1 // A0A0D3AYP8 // A0A0D3CUG8 // A0A0D3CV31 // A0A0D3D1F7 // A0A0D3CX87 // A0A0D3D0R7 // A0A0D3EIB7 // A0A0D3CUN2 // A0A0D3CVV5 // A0A0D3D1T6 // A0A0D3CTW9 // A0A0D3CZ52 // A0A0D3EI30 // A0A0D3CYZ8 // A0A0D3C2S5 // A0A0D3EI34 // A0A0D3CW25 // A0A0D3CXN0 // A0A0D3CXN1 // A0A0D3D1G4 // A0A0D3CW22 // A0A0D3CU51 // A0A0D3CVW8 // A0A0D3DJD3 // A0A0D3EIG8 // A0A0D3EIG4 // A0A0D3CZ60 // A0A0D3CWL1 // A0A0D3CZ64 // A0A0D3CZC5 // A0A0D3CUP2 // A0A0D3CVA7 // A0A0D3D119 // A0A0D3EI29 // A0A0D3CW19 // A0A0D3AYG2 // A0A0D3C2C2 // A0A0D3AYG5 // A0A0D3CUY3 // A0A0D2ZVR0 // A0A0D3D1M2 // A0A0D3AZ69 // A0A0D3CXD5 // A0A0D3CY86 // A0A0D3CY88 // A0A0D3AZB1 // A0A0D3CVI9 // A0A0D3D1E5 // A0A0D3CY01 // A0A0D3CZH3 // A0A0D3CZH0 // A0A0D3CY04 // A0A0D3D0W5 // A0A0D3EI91 // A0A0D3AZ74 // A0A0D3AZ76 // A0A0D3EIE6 // A0A0D3AYL4 // A0A0D3D1J7 // A0A0D3CVJ4 // A0A0D3D1S5 // A0A0D3CYN5 // A0A0D3CYN3 // A0A0D3CWJ3 // A0A0D3CX44 // A0A0D3CX45 // A0A0D3CV71 // A0A0D3D0V7 // A0A0D3CW76 // A0A0D3CVA5 // A0A0D3CYW2 // A0A0D3CVA2 // A0A0D3EID7 // A0A0D3CXB3 // A0A0D3AYK8 // A0A0D3EHY9 // A0A0D3CYR0 // A0A0D3CZB0 // A0A0D3CZB2 // A0A0D3CVZ1 // A0A0D3CTS3 // A0A0D3EI72 // A0A0D3AYS0 // A0A0D3CZ13 // A0A0D3CZ15 // A0A0D3D1C0 // A0A0D3CXJ0 // A0A0D3EHY5 // A0A0D3C217 // A0A0D3CUZ7 // A0A0D3CUZ1 // A0A0D3CXR9 // A0A0D3B5V2 // A0A0D3D141 // A0A0D3CVS7 // A0A0D3D0S5 // A0A0D3D1H8 // A0A0D3D1Q5 // A0A0D3CXX5 // A0A0D3CWH1 // A0A0D3AYR9 // A0A0D3CX26 // A0A0D3CUT0 // A0A0D3C250 // A0A0D3CY51 // A0A0D3CUE1 // A0A0D3CXK9 // A0A0D3AYZ4 // A0A0D3D151 // A0A0D3CZS3 // A0A0D3CZA5 // A0A0D3AYZ8 
GO:0016070	P	RNA metabolic process	169	1482	1657	37767	3e-27	3.9e-24	// A0A0D3CXN1 // A0A0D3D1S3 // A0A0D3CZD3 // A0A0D3EIB3 // A0A0D3CWX9 // A0A0D3EI57 // A0A0D3AYQ8 // A0A0D3EIB8 // A0A0D3CY72 // A0A0D3D1V4 // A0A0D3CYK5 // A0A0D3CUZ7 // A0A0D3CUD3 // A0A0D3CXP3 // A0A0D3D120 // A0A0D3CZT6 // A0A0D3CXI0 // A0A0D3CZT2 // A0A0D3CZT3 // A0A0D3CYR3 // A0A0D3CZ02 // A0A0D3CXA4 // A0A0D3CXV4 // A0A0D3C2Q1 // A0A0D3DJF4 // A0A0D3CTV4 // A0A0D3AYP3 // A0A0D3CWW8 // A0A0D3CZ93 // A0A0D3CXI1 // A0A0D3AYP8 // A0A0D3CUG8 // A0A0D3CV31 // A0A0D3D1F7 // A0A0D3C248 // A0A0D3CX87 // A0A0D3D0R7 // A0A0D3D138 // A0A0D3D0R5 // A0A0D3C2S5 // A0A0D3EIB7 // A0A0D3CUN2 // A0A0D3CVV5 // A0A0D3D1T6 // A0A0D3C249 // A0A0D3CTW9 // A0A0D3CZ52 // A0A0D3EI30 // A0A0D3CYZ8 // A0A0D3C251 // A0A0D3C250 // A0A0D3EI34 // A0A0D3CW25 // A0A0D3CXN0 // A0A0D3CX94 // A0A0D3D1G4 // A0A0D3CW22 // A0A0D3CW76 // A0A0D3CU51 // A0A0D3AYH2 // A0A0D3CYE8 // A0A0D3CVW8 // A0A0D3DJD3 // A0A0D3EIG8 // A0A0D3CUI9 // A0A0D3EIG4 // A0A0D3EIG5 // A0A0D3EIG1 // A0A0D3CZ60 // A0A0D3CWL1 // A0A0D3CZ64 // A0A0D3CZC5 // A0A0D3CUP2 // A0A0D3CYW2 // A0A0D3D197 // A0A0D3CUA4 // A0A0D3D119 // A0A0D3EI29 // A0A0D3CW19 // A0A0D3D110 // A0A0D3AYG2 // A0A0D3C2C2 // A0A0D3AYG5 // A0A0D3D1U7 // A0A0D3CUY3 // A0A0D2ZVR0 // A0A0D3D1M2 // A0A0D3AZ69 // A0A0D3CXD5 // A0A0D3CY86 // A0A0D3CY88 // A0A0D3AZB1 // A0A0D3CVI9 // A0A0D3AZB5 // A0A0D3D1E5 // A0A0D3CY01 // A0A0D3CZH3 // A0A0D3CZH0 // A0A0D3CY04 // A0A0D3D0W5 // A0A0D3AYN2 // A0A0D3EI91 // A0A0D3AZ74 // A0A0D3AZ76 // A0A0D3EIE6 // A0A0D3AYL4 // A0A0D3D1J7 // A0A0D3CVJ4 // A0A0D3D1S5 // A0A0D3CYN5 // A0A0D3CTR9 // A0A0D3CYN3 // A0A0D3AYK8 // A0A0D3CWJ3 // A0A0D3EI01 // A0A0D3EHX1 // A0A0D3CX44 // A0A0D3CX45 // A0A0D3CV71 // A0A0D3D1B9 // A0A0D3D0V7 // A0A0D3CVA9 // A0A0D3CVA5 // A0A0D3CVA7 // A0A0D3CVA2 // A0A0D3EID7 // A0A0D3CWI9 // A0A0D3EID1 // A0A0D3CXB3 // A0A0D3D1P6 // A0A0D3EHY9 // A0A0D3CZB6 // A0A0D3CYR0 // A0A0D3CZB0 // A0A0D3CZB2 // A0A0D3CVZ1 // A0A0D3CTS3 // A0A0D3EI72 // A0A0D3AYS0 // A0A0D3CZ13 // A0A0D3CZ15 // A0A0D3D1C0 // A0A0D3CXJ0 // A0A0D3EHY5 // A0A0D3C217 // A0A0D3CVB0 // A0A0D3CUZ1 // A0A0D3CXR9 // A0A0D3B5V2 // A0A0D3D141 // A0A0D3CVS7 // A0A0D3D0S5 // A0A0D3D1H2 // A0A0D3D1H8 // A0A0D3D1Q5 // A0A0D3CYP4 // A0A0D3CWH1 // A0A0D3AYR9 // A0A0D3CX26 // A0A0D3CUT0 // A0A0D3CY51 // A0A0D3CUE1 // A0A0D3CXK9 // A0A0D3AYZ4 // A0A0D3D151 // A0A0D3CZS3 // A0A0D3CZA5 // A0A0D3CXX5 // A0A0D3AYZ8 
GO:0005975	P	carbohydrate metabolic process	92	1482	866	37767	3.5e-16	3.4e-13	// A0A0D3CVE5 // A0A0D3BA47 // A0A0D3CYS0 // A0A0D3CZD3 // A0A0D3AYQ1 // A0A0D3CVT0 // A0A0D3CVT1 // A0A0D3AYQ7 // A0A0D3CUW4 // A0A0D3CUW3 // A0A0D3CYK0 // A0A0D3CYK2 // A0A0D3D121 // A0A0D3D148 // A0A0D3CZT1 // A0A0D3CYR2 // A0A0D3CXV0 // A0A0D3CZE5 // A0A0D3CY78 // A0A0D3CX03 // A0A0D3EI43 // A0A0D3CWW7 // A0A0D3C243 // A0A0D3CX81 // A0A0D3D1B1 // A0A0D3D1F5 // A0A0D3CXD1 // A0A0D3CYU7 // A0A0D3CWE6 // A0A0D3CTW4 // A0A0D3CUQ4 // A0A0D3CUQ2 // A0A0D3CY66 // A0A0D3CZN3 // A0A0D3CZN7 // A0A0D3CYZ9 // A0A0D3CYE3 // A0A0D3AYH2 // A0A0D3CZP6 // A0A0D3CZP4 // A0A0D3EIG4 // A0A0D3EIG5 // A0A0D3CVH6 // A0A0D3CUP3 // A0A0D3D1L8 // A0A0D3C266 // A0A0D3AZ85 // A0A0D3CV54 // A0A0D3CZW1 // A0A0D3AYM9 // A0A0D3CY84 // A0A0D3AZB7 // A0A0D3CY06 // A0A0D3EI97 // A0A0D3CTZ0 // A0A0D3D1K6 // A0A0D3CZR3 // A0A0D3CUK9 // A0A0D3CVJ2 // A0A0D3CVJ5 // A0A0D3CXZ2 // A0A0D3CTR3 // A0A0D3EHX1 // A0A0D3AYT7 // A0A0D3CTR7 // A0A0D3CZI8 // A0A0D3CZ04 // A0A0D3CXF3 // A0A0D3CY36 // A0A0D3CVA8 // A0A0D3CWC9 // A0A0D3CXU7 // A0A0D3CV95 // A0A0D3CVK4 // A0A0D3AYK9 // A0A0D3C2U6 // A0A0D3EHY4 // A0A0D3CVB4 // A0A0D3CU13 // A0A0D3CUR6 // A0A0D3CWB1 // A0A0D3CXR1 // A0A0D3CXX9 // A0A0D3CVS9 // A0A0D3AZA2 // A0A0D3EIC1 // A0A0D3CUT1 // A0A0D3AYR1 // A0A0D3CYH4 // A0A0D3CXS1 // A0A0D3CXS0 // A0A0D3D0Y3 
GO:0006139	P	nucleobase, nucleoside, nucleotide and nucleic acid metabolic process	218	1482	3198	37767	8e-15	6.2e-12	// A0A0D3CXN1 // A0A0D3CWJ3 // A0A0D3CZD3 // A0A0D3CWP9 // A0A0D3EIB3 // A0A0D3CWX9 // A0A0D3EI57 // A0A0D3AYQ8 // A0A0D3EIB8 // A0A0D3CY72 // A0A0D3D1V4 // A0A0D3CYK5 // A0A0D3CUZ7 // A0A0D3CZC5 // A0A0D3CUD3 // A0A0D3CUD4 // A0A0D3CY75 // A0A0D3CZ02 // A0A0D3CXP3 // A0A0D3D120 // A0A0D3CZT6 // A0A0D3CXI0 // A0A0D3CZT2 // A0A0D3CZT3 // A0A0D3CYR3 // A0A0D3CYR2 // A0A0D3CXV0 // A0A0D3CXA4 // A0A0D3CXA3 // A0A0D3CXV4 // A0A0D3C2Q1 // A0A0D3DJF4 // A0A0D3D108 // A0A0D3CTV4 // A0A0D3EI43 // A0A0D3CWW8 // A0A0D3AYZ8 // A0A0D3CZ93 // A0A0D3CXI1 // A0A0D3AYP8 // A0A0D3CUG8 // A0A0D3CV31 // A0A0D3CXD5 // A0A0D3D1F7 // A0A0D3C248 // A0A0D3CX87 // A0A0D3C2A8 // A0A0D3CZU4 // A0A0D3D0R7 // A0A0D3D138 // A0A0D3D0R5 // A0A0D3C2S5 // A0A0D3EIB7 // A0A0D3CUN2 // A0A0D3D1H2 // A0A0D3CVV5 // A0A0D3D184 // A0A0D3CVS3 // A0A0D3D1T6 // A0A0D3C249 // A0A0D3CTW9 // A0A0D3CZ52 // A0A0D3C255 // A0A0D3EI30 // A0A0D3CYZ8 // A0A0D3C251 // A0A0D3C250 // A0A0D3EI34 // A0A0D3CW25 // A0A0D3CXC8 // A0A0D3CX94 // A0A0D3D1G4 // A0A0D3D106 // A0A0D3CW22 // A0A0D3CV41 // A0A0D3CV45 // A0A0D3CW76 // A0A0D3CU51 // A0A0D3AYH2 // A0A0D3CYE8 // A0A0D3CVW8 // A0A0D3DJD3 // A0A0D3EIG8 // A0A0D3CUI9 // A0A0D3EIG4 // A0A0D3EIG5 // A0A0D3EIG1 // A0A0D3D197 // A0A0D3CWL1 // A0A0D3D1U7 // A0A0D3D1J7 // A0A0D3CUP2 // A0A0D3CYW2 // A0A0D3CZ60 // A0A0D3CUA4 // A0A0D3CTT3 // A0A0D3EI29 // A0A0D3CW19 // A0A0D3D110 // A0A0D3AYG2 // A0A0D3C2C2 // A0A0D3AZ86 // A0A0D3C2A7 // A0A0D3AYG5 // A0A0D3CZ64 // A0A0D3CUY3 // A0A0D2ZVR0 // A0A0D3D1M2 // A0A0D3AZ69 // A0A0D3D1R6 // A0A0D3CZY8 // A0A0D3CY86 // A0A0D3CY88 // A0A0D3AZB1 // A0A0D3CVI9 // A0A0D3AZB5 // A0A0D3AZ99 // A0A0D3D1E5 // A0A0D3D1E4 // A0A0D3CY01 // A0A0D3CZH3 // A0A0D3CZH0 // A0A0D3CY04 // A0A0D3CYG6 // A0A0D3CV61 // A0A0D3AYN2 // A0A0D3EI91 // A0A0D3D164 // A0A0D3D0W5 // A0A0D3AZ74 // A0A0D3AZ76 // A0A0D3EIE6 // A0A0D3AYL4 // A0A0D3CXE2 // A0A0D3EHZ8 // A0A0D3CXB3 // A0A0D3D1S5 // A0A0D3CYN5 // A0A0D3CTR9 // A0A0D3CYN3 // A0A0D3AYK8 // A0A0D3D1S3 // A0A0D3CZA9 // A0A0D3EI01 // A0A0D3EHX1 // A0A0D3AYT7 // A0A0D3CX44 // A0A0D3CX45 // A0A0D3D119 // A0A0D3D1B1 // A0A0D3CY35 // A0A0D3CV71 // A0A0D3D1B9 // A0A0D3D0V7 // A0A0D3CVA9 // A0A0D3CW66 // A0A0D3CVA5 // A0A0D3CVA7 // A0A0D3AYE9 // A0A0D3CVA2 // A0A0D3EID7 // A0A0D3CWI9 // A0A0D3EID1 // A0A0D3CWI3 // A0A0D3D1P5 // A0A0D3D1P6 // A0A0D3EHY9 // A0A0D3CZB6 // A0A0D3CYR0 // A0A0D3CZB0 // A0A0D3CZB2 // A0A0D3C296 // A0A0D3CVZ1 // A0A0D3CU94 // A0A0D3EI72 // A0A0D3CTS3 // A0A0D3AYS0 // A0A0D3C218 // A0A0D3CZ13 // A0A0D3CZ15 // A0A0D3D1C0 // A0A0D3CXJ0 // A0A0D3EHY5 // A0A0D3C217 // A0A0D3CVB0 // A0A0D3CZ98 // A0A0D3CUZ1 // A0A0D3CXR9 // A0A0D3CZA5 // A0A0D3B5V2 // A0A0D3CZN7 // A0A0D3D141 // A0A0D3CZ96 // A0A0D3CVS7 // A0A0D3D0S5 // A0A0D3CTX6 // A0A0D3CTX7 // A0A0D3CTX0 // A0A0D3CVS2 // A0A0D3D1H8 // A0A0D3CVJ4 // A0A0D3D1Q5 // A0A0D3CYP4 // A0A0D3CWH1 // A0A0D3AYR9 // A0A0D3CX26 // A0A0D3CUT0 // A0A0D3CVL4 // A0A0D3CY51 // A0A0D3CUE1 // A0A0D3CXK9 // A0A0D3D0T0 // A0A0D3AYZ4 // A0A0D3D151 // A0A0D3CZS3 // A0A0D3AYP3 // A0A0D3CXX5 // A0A0D3CXN0 
GO:0045893	P	positive regulation of transcription, DNA-dependent	16	1482	22	37767	1.6e-13	1e-10	// A0A0D3EID7 // A0A0D3D0S5 // A0A0D3CUZ7 // A0A0D3D119 // A0A0D3C2Q1 // A0A0D3CUN2 // A0A0D3EIG4 // A0A0D3CXX5 // A0A0D3EHY9 // A0A0D3CY01 // A0A0D3EIB3 // A0A0D3AYR9 // A0A0D3CTV4 // A0A0D3CY86 // A0A0D3CZ64 // A0A0D3D1M2 
GO:0006807	P	nitrogen compound metabolic process	243	1482	3826	37767	2.6e-13	1.3e-10	// A0A0D3CXN1 // A0A0D3CWJ3 // A0A0D3CZD3 // A0A0D3CWP9 // A0A0D3EIB3 // A0A0D3CWX9 // A0A0D3EI57 // A0A0D3AYQ8 // A0A0D3EIB8 // A0A0D3CY72 // A0A0D3D1V4 // A0A0D3CYU3 // A0A0D3CYK5 // A0A0D3CUZ7 // A0A0D3CZ98 // A0A0D3CZC5 // A0A0D3CUD3 // A0A0D3CUD4 // A0A0D3CY75 // A0A0D3CZ02 // A0A0D3CXP3 // A0A0D3CYC9 // A0A0D3D120 // A0A0D3CZT9 // A0A0D3CZT6 // A0A0D3AYP8 // A0A0D3CZT2 // A0A0D3CZT3 // A0A0D3CYR3 // A0A0D3CYR2 // A0A0D3CXV0 // A0A0D3CXA4 // A0A0D3CXA3 // A0A0D3CXV4 // A0A0D3C2Q1 // A0A0D3DJF4 // A0A0D3D108 // A0A0D3CTV4 // A0A0D3EI43 // A0A0D3CWW8 // A0A0D3AYZ8 // A0A0D3CZ93 // A0A0D3CXI1 // A0A0D3CXI0 // A0A0D3C247 // A0A0D3CUG8 // A0A0D3CV31 // A0A0D3CXD5 // A0A0D3CW36 // A0A0D3D1F1 // A0A0D3D1F7 // A0A0D3C248 // A0A0D3CX87 // A0A0D3C2A8 // A0A0D3CXQ0 // A0A0D3CZU4 // A0A0D3D0R7 // A0A0D3D138 // A0A0D3C2A7 // A0A0D3C2S5 // A0A0D3EIB7 // A0A0D3CUN2 // A0A0D3D1H2 // A0A0D3CVV5 // A0A0D3D184 // A0A0D3CUQ0 // A0A0D3CVS3 // A0A0D3D1T6 // A0A0D3C249 // A0A0D3CTW9 // A0A0D3CZ52 // A0A0D3C255 // A0A0D3EI30 // A0A0D3CYZ8 // A0A0D3C251 // A0A0D3C250 // A0A0D3EI34 // A0A0D3CW25 // A0A0D3CXC8 // A0A0D3CX94 // A0A0D3D1G4 // A0A0D3D106 // A0A0D3CW22 // A0A0D3CYE6 // A0A0D3CV41 // A0A0D3CYE3 // A0A0D3CV45 // A0A0D3CW76 // A0A0D3CU51 // A0A0D3AYH2 // A0A0D3CYE8 // A0A0D3CVW8 // A0A0D3DJD3 // A0A0D3EIG8 // A0A0D3CUI9 // A0A0D3EIG4 // A0A0D3EIG5 // A0A0D3CTS3 // A0A0D3EIG1 // A0A0D3D197 // A0A0D3CWL1 // A0A0D3D1U7 // A0A0D3D1J7 // A0A0D3CUP2 // A0A0D3CYW2 // A0A0D3CZ60 // A0A0D3CUA4 // A0A0D3CTT3 // A0A0D3D118 // A0A0D3EI29 // A0A0D3CW19 // A0A0D3D110 // A0A0D3AYG2 // A0A0D3C2C2 // A0A0D3AZ86 // A0A0D3D0R5 // A0A0D3AYG5 // A0A0D3CZ64 // A0A0D3CUY3 // A0A0D3AZA6 // A0A0D2ZVR0 // A0A0D3D1M3 // A0A0D3D1M2 // A0A0D3AZ69 // A0A0D3D1R6 // A0A0D3CZY8 // A0A0D3CY86 // A0A0D3CY88 // A0A0D3AZB1 // A0A0D3CVI9 // A0A0D3D1R8 // A0A0D3AZB5 // A0A0D3AZ99 // A0A0D3D1E5 // A0A0D3D1E4 // A0A0D3CY01 // A0A0D3CZH3 // A0A0D3CZH0 // A0A0D3CY04 // A0A0D3CYG6 // A0A0D3CV61 // A0A0D3CV63 // A0A0D3AYN2 // A0A0D3EI91 // A0A0D3D164 // A0A0D3D0W5 // A0A0D3AZ74 // A0A0D3AZ76 // A0A0D3AYL6 // A0A0D3EIE6 // A0A0D3AYL4 // A0A0D3D1J6 // A0A0D3CXE2 // A0A0D3EHZ8 // A0A0D3CXB3 // A0A0D3D1S5 // A0A0D3CYN5 // A0A0D3CTR9 // A0A0D3CYN3 // A0A0D3AYK8 // A0A0D3D1S3 // A0A0D3CZA9 // A0A0D3EI01 // A0A0D3EHX1 // A0A0D3AYT7 // A0A0D3CX44 // A0A0D3CX45 // A0A0D3D119 // A0A0D3D1B1 // A0A0D3CY35 // A0A0D3CV71 // A0A0D3D1B9 // A0A0D3D0V7 // A0A0D3CVA9 // A0A0D3CW66 // A0A0D3CVA5 // A0A0D3CVA7 // A0A0D3AYE9 // A0A0D3CVA2 // A0A0D3EID7 // A0A0D3CWI9 // A0A0D3EID1 // A0A0D3CXK9 // A0A0D3CWI3 // A0A0D3D1P5 // A0A0D3D1P6 // A0A0D3CUE7 // A0A0D3EHY9 // A0A0D3CZB6 // A0A0D3CYR0 // A0A0D3CZB0 // A0A0D3CZB2 // A0A0D3C296 // A0A0D3CVZ1 // A0A0D3CU94 // A0A0D3EI72 // A0A0D3CXF8 // A0A0D3AYS0 // A0A0D3C218 // A0A0D3CZ13 // A0A0D3CZ15 // A0A0D3D1C0 // A0A0D3CXJ0 // A0A0D3EHY5 // A0A0D3C217 // A0A0D3CVB0 // A0A0D3CVB1 // A0A0D3CUZ1 // A0A0D3CXR9 // A0A0D3CZA5 // A0A0D3B5V2 // A0A0D3CZN7 // A0A0D3CYA6 // A0A0D3D141 // A0A0D3CZ96 // A0A0D3CVS7 // A0A0D3D0S5 // A0A0D3CTX6 // A0A0D3CTX7 // A0A0D3CTX0 // A0A0D3CVS2 // A0A0D3D1H8 // A0A0D3CVJ4 // A0A0D3D1Q5 // A0A0D3CYP4 // A0A0D3CWH1 // A0A0D3AYR9 // A0A0D3CUM7 // A0A0D3CX26 // A0A0D3CUT0 // A0A0D3EHZ6 // A0A0D3CVL4 // A0A0D3CY51 // A0A0D3CUE1 // A0A0D3CVH6 // A0A0D3CZ29 // A0A0D3D0T0 // A0A0D3AYZ4 // A0A0D3D151 // A0A0D3CZS3 // A0A0D3AYP3 // A0A0D3CXX5 // A0A0D3CXN0 
GO:0051254	P	positive regulation of RNA metabolic process	16	1482	23	37767	2.6e-13	1.3e-10	// A0A0D3EID7 // A0A0D3D0S5 // A0A0D3CUZ7 // A0A0D3D119 // A0A0D3C2Q1 // A0A0D3CUN2 // A0A0D3EIG4 // A0A0D3CXX5 // A0A0D3EHY9 // A0A0D3CY01 // A0A0D3EIB3 // A0A0D3AYR9 // A0A0D3CTV4 // A0A0D3CY86 // A0A0D3CZ64 // A0A0D3D1M2 
GO:0033554	P	cellular response to stress	53	1482	399	37767	3.8e-13	1.6e-10	// A0A0D3AYM4 // A0A0D3D1M2 // A0A0D3CWI3 // A0A0D3AYK8 // A0A0D3AZ69 // A0A0D3C2N2 // A0A0D3D184 // A0A0D3C296 // A0A0D3CZ32 // A0A0D3C205 // A0A0D3D0X7 // A0A0D3CXC8 // A0A0D3C255 // A0A0D3C218 // A0A0D3AZ99 // A0A0D3C250 // A0A0D3D1C3 // A0A0D3D1E4 // A0A0D3CVS3 // A0A0D3AYL4 // A0A0D3CYG6 // A0A0D3CXA3 // A0A0D3CV61 // A0A0D3CV45 // A0A0D3CZ91 // A0A0D3CYC9 // A0A0D3D0S5 // A0A0D3CTX0 // A0A0D3CVS2 // A0A0D3CZP4 // A0A0D3EIG9 // A0A0D3C2Q1 // A0A0D3EIG5 // A0A0D3CZ13 // A0A0D3CYP7 // A0A0D3CVH6 // A0A0D3CYJ9 // A0A0D3AZA5 // A0A0D3EI65 // A0A0D3CY75 // A0A0D3D1B2 // A0A0D3D119 // A0A0D3CY35 // A0A0D3CV77 // A0A0D3AYX2 // A0A0D3D1D3 // A0A0D3C2A8 // A0A0D3CZW5 // A0A0D3CXS5 // A0A0D3CZU4 // A0A0D3CZS0 // A0A0D3D0T0 // A0A0D3C2A7 
GO:0044262	P	cellular carbohydrate metabolic process	52	1482	417	37767	5.4e-12	2.1e-09	// A0A0D3CYU7 // A0A0D3CWE6 // A0A0D3BA47 // A0A0D3CXX9 // A0A0D3CYS0 // A0A0D3CZD3 // A0A0D3CTW4 // A0A0D3CVT0 // A0A0D3CVT1 // A0A0D3CUQ2 // A0A0D3CXD1 // A0A0D3AYQ7 // A0A0D3CY06 // A0A0D3EHY4 // A0A0D3CZN7 // A0A0D3AYH2 // A0A0D3D1L8 // A0A0D3AZB7 // A0A0D3CVB4 // A0A0D3CYE3 // A0A0D3D148 // A0A0D3EI97 // A0A0D3CWB1 // A0A0D3CVJ2 // A0A0D3CXR1 // A0A0D3CYR2 // A0A0D3CXV0 // A0A0D3CZP4 // A0A0D3CZR3 // A0A0D3CZE5 // A0A0D3CUK9 // A0A0D3EIG4 // A0A0D3EIG5 // A0A0D3CVS9 // A0A0D3CVH6 // A0A0D3AZA2 // A0A0D3EIC1 // A0A0D3EI43 // A0A0D3CWW7 // A0A0D3CUP3 // A0A0D3CUT1 // A0A0D3EHX1 // A0A0D3AYT7 // A0A0D3CTR7 // A0A0D3C266 // A0A0D3CZI8 // A0A0D3D1B1 // A0A0D3D1F5 // A0A0D3CZW1 // A0A0D3CWC9 // A0A0D3CXZ2 // A0A0D3CZT1 
