CHROM	qtl	start	end	length	nSNPs	avgSNPs_Mb	peakDeltaSNP	avgDeltaSNP	maxGprime	meanGprime	sdGprime	AUCaT	meanPval	meanQval
C3	1	2798422	3303255	504833	5575	11043	-0.0605265052101833	-0.0575979417259519	4.17238210156511	4.03403624213904	0.0825477889473964	72153.9999138633	0.000356460384021297	0.0073041963047027
C3	2	14242041	20769059	6527018	64577	9894	0.0182254572350451	0.00870021893759486	6.47401857187504	5.38544716766441	0.843764946191289	9729931.82445563	5.42229266994113e-05	0.00142153107956518
C3	3	21393686	23675635	2281949	23233	10181	-0.0542474292185989	-0.0128687925085191	6.9615148305914	6.00609464355234	0.926853373147875	4472119.65233206	3.10788342278856e-05	0.000772432942063376
C4	1	42457589	44449569	1991980	18847	9461	0.0608395495137672	0.0356601240846174	6.36902554062842	5.24805213712507	0.819518549060714	2922523.79227391	6.69466164891079e-05	0.0016782947351104
C4	2	44669794	45717875	1048081	8280	7900	0.0426295451425057	0.0344489929940358	4.5276667933122	4.16654808513173	0.21036755860816	290824.654398866	0.000274104528818549	0.00589668670471994
C6	1	14747384	15567773	820389	7359	8970	0.0584738607939887	0.0556161649676708	4.34840366637673	4.15901819754464	0.124172428801471	198037.000550489	0.000245073296895686	0.00564189387582328
C6	2	32283593	32514452	230859	2043	8850	0.0687792938562177	0.0686022859603614	3.96211387116012	3.92407559516397	0.0188705233165298	9325.39822899472	0.000499951563201595	0.00916230243823901
C7	1	32898022	35701666	2803644	27065	9654	-0.0882694010568358	-0.0564226175148941	6.86648195141114	5.39688462811027	0.898426456663584	4293544.38514031	6.20019226739893e-05	0.00153179787296116
C7	2	36910019	38455607	1545588	17400	11258	-0.0283501432498609	-0.0207641124679967	4.34642163286457	4.12333754929545	0.135241731227294	357103.72975507	0.000281452174356157	0.00615495501032221
C7	3	38689199	40094567	1405368	14521	10333	-0.0206007772040302	-0.0138713506609036	4.12800035769908	4.03797965439308	0.0650389791120343	210636.649716204	0.000346764402518945	0.00718837744581826
C9	1	11949242	13569295	1620053	19767	12201	0.112565136302378	0.103957167634559	4.73552480529068	4.4317694256802	0.268528547998912	882426.005626212	0.000137270002146391	0.00347857207873175
C9	2	39394499	41773604	2379105	17057	7170	0.108601873990767	0.0927268744758036	4.98473473519942	4.38579406338963	0.408305308916232	1367297.11427031	0.000205242754816977	0.00450546802604703
C9	3	45136716	46405267	1268551	13093	10321	0.0592799534716589	0.0409154015376417	4.43144697094144	4.21632730918894	0.164618802498251	421605.486669966	0.000217074090058718	0.00511572366721568
