Gene stable ID	Transcript stable ID	UniProtKB/TrEMBL ID
Bo2g165940	Bo2g165940.1	A0A0D3AYL4
Bo3g001210	Bo3g001210.1	A0A0D3AZ86
Bo3g009090	Bo3g009090.1	A0A0D3B0X6
Bo3g052790	Bo3g052790.1	A0A0D3B8W2
Bo3g054870	Bo3g054870.1	A0A0D3B971
Bo4g004720	Bo4g004720.1	A0A0D3BNM9
Bo4g021200	Bo4g021200.1	A0A0D3BPP0
Bo5g017470	Bo5g017470.1	A0A0D3C9T3
Bo5g017960	Bo5g017960.1	A0A0D3C9Y2
Bo6g107140	Bo6g107140.1	A0A0D3CZ13
Bo6g108630	Bo6g108630.1	A0A0D3CZ63
Bo6g121080	Bo6g121080.1	A0A0D3D1B3
Bo7g078120	Bo7g078120.1	A0A0D3DA03
Bo7g089210	Bo7g089210.1	A0A0D3DBR7
Bo7g096670	Bo7g096670.1	A0A0D3DD16
Bo8g011100	Bo8g011100.1	A0A0D3DJF9
Bo8g058580	Bo8g058580.1	A0A0D3DNP0
Bo9g037420	Bo9g037420.1	A0A0D3E4V1
Bo9g186110	Bo9g186110.1	A0A0D3EIH2
