Gene stable ID	Transcript stable ID	UniProtKB/TrEMBL ID
Bo3g001370	Bo3g001370.1	A0A0D3AZA2
Bo3g009090	Bo3g009090.1	A0A0D3B0X6
Bo3g036550	Bo3g036550.1	A0A0D3B6I0
Bo3g042990	Bo3g042990.1	A0A0D3B7S6
Bo3g044220	Bo3g044220.1	A0A0D3B7V0
Bo3g049920	Bo3g049920.1	A0A0D3B8M3
Bo3g054920	Bo3g054920.1	A0A0D3B976
Bo3g083660	Bo3g083660.1	A0A0D3BD65
Bo3g097780	Bo3g097780.1	A0A0D3BEN6
Bo3g149490	Bo3g149490.1	A0A0D3BJ93
Bo4g157430	Bo4g157430.1	A0A0D3C207
Bo5g017660	Bo5g017660.1	A0A0D3C9V2
Bo6g097180	Bo6g097180.1	A0A0D3CXW1
Bo6g113130	Bo6g113130.1	A0A0D3CZW5
Bo7g080630	Bo7g080630.1	A0A0D3DAF5
Bo7g084330	Bo7g084330.1	A0A0D3DB76
Bo7g089510	Bo7g089510.1	A0A0D3DBU7
Bo7g098750	Bo7g098750.1	A0A0D3DDM4
Bo7g099040	Bo7g099040.1	A0A0D3DDQ3
Bo8g011330	Bo8g011330.1	A0A0D3DJI2
Bo8g015020	Bo8g015020.1	A0A0D3DJQ4
Bo8g015130	Bo8g015130.1	A0A0D3DJR5
Bo9g158600	Bo9g158600.1	A0A0D3EEK7
